,text,label
75,"Meanwhile, The Man distributes his mind-control drug through Boutwell's fried chicken, infecting other black celebrities and making them act white. Concerned with Undercover Brother's unusual behavior, Sistah Girl attacks White She-Devil and convinces Undercover Brother to return to the fight. White-She-Devil turns on her own henchmen to save the two, revealing she has fallen in love with Undercover Brother. They return to the B.R.O.T.H.E.R.H.O.O.D., where Smart Brother questions White She-Devil about The Man and Lance is officially made part of the group when he declares his desire to abolish bigotry after watching Roots. The group heads to an awards gala after they find out that James Brown is The Man's next target. Mr. Feather kidnaps Brown and takes him to The Man's base.",0
109,"Despite avoiding the crash, Sam wakes up on the same day again. Camera effects are used to indicate that Sam has continuously experienced the same day many times and is seemingly unable to break the loop, so one morning she decides to angrily react to everyone around her, insulting her friends and family. At the party, she has sex with Rob, but appears to not enjoy the experience. She runs into Kent's room and breaks down in tears. Kent finds and comforts her, letting her stay in his room. She asks him why he's so nice to her and he says it's because she was the first one to make him laugh after his father died in third grade.",0
1081," When this guy heard that the Pope was coming  to town he went out and bought a tuxedo in the hope that the Pope might notice him on the parade route. When he went to the parade there was this bum standing next to him with old dirty clothes on. The the guy's amazement when the Pope came he went over to the bum and whispered something in his ear. Enraged the guy went over to the bum and offered him $100 for the clothes off his back. Next day he went back to the parade dressed like a bum. Sure enough when the Pope came he stopped in front of this guy and whispered in his ear ""I thought I told you to get the hell out of here!"" ",1
289," The phone call...

A married couple were asleep when the phone rang at 2 in the morning.

The wife (a blonde), picked up the phone, listened a moment and said, ""How should I know, that's 200 miles from here!"" and hung up.

Curious, the husband said, ""Who was that?""

And his lovely wife replies, ""I don't have any idea who it was. It was some stupid woman wanting to know ""if the coast is clear."" ",1
212,"Cruise tells Vanessa the deep reason why he doesn't really like basketball and would rather be a doctor - The night Cruise's mother is in the hospital dying, when he arrived to the hospital, there was a doctor that recognized him and said how he loved watching him playing basketball and that he remembers a 40-point game that Cruise had. Cruise mentions to Vanessa ""my mother is laying there dying, and all he can talk about is me scoring 40 points. I don't know, I guess in the grand scheme things, basketball just isn't that important to me"". Vanessa reminds Cruise that he should be scored that Vaughn will tell the media that Cruise played in one of his illegal basketball games. But Cruise reminds her that since he didn't play for money, Vaughn wouldn't gain anything from telling. Back at the hotel Tech starts drinking and he gets in an argument with Eboni and tells her to ""play her role"".",0
822," One time an electrician came home drunk at four o'clock in the morning. ""Wire you insulate?"" his wife scolded. ""Watts it to you?"" he snapped. ""I'm ohm, ain't I?"" ",1
582," When Little Johnny got his exam paper back, he saw a big red F staring back at him.

Billy looked at his glum friend and asked, ""Why did you get such a low mark on that test?""

""Because of absence,"" Johnny answered.

""You mean you were absent on the day of the test?"" Billy inquired.

Little Johnny replied, ""I wasn't, but the kid who sits next to me was."" ",1
483,"A 12-inch (30 cm) crucifix, hung in the living room by Kathy, revolved until it was upside down and gave off a sour smell. George tripped over a 4-foot-high (1.2 m) China lion ornament in the living room and found bite marks on one of his ankles. Later this lion would reappear in the living room after George had moved it back upstairs into the sewing room. George saw Kathy transform into an old woman of 90: ""the hair wild a shocking white, the face a mass of wrinkles and ugly lines, and saliva dripping from the toothless mouth."" Missy would sing constantly while in her room. Whenever she left the room she would stop singing and upon returning she would resume singing where she left off.",0
550," One day, Mr. Dorren's first grade class was learning the alphabet.  

One of his students came up to Mr. Dorren and asked to go to the bathroom.

Mr. Dorren said, ""First, recite the alphabet.""

The student started, ""A, B...  ... L, M, N, O, Q...""

When he finished, Mr. Dorren asked, ""Where's the 'P'?""

""Running down my legs."" replied the student. ",1
744,"She, however, decides she must keep her word and though she loves him, she will not go with him. Cole then sets out to get revenge on the captain who took the Blevins boy's life, as well as to get back his, Lacey's and Blevins' horses. After making the captain his prisoner, he turns him over to Mexican men, including one with whom Cole had previously shared a cell when they were imprisoned by the captain. Cole is spared the decision to kill the captain, but it is implied the men whom the captain was turned over to will do that. Reentering the USA and riding through a small town in Texas, towing two horses behind the one he is riding, he stops to inquire what day it is (it is Thanksgiving Day). He asks a couple of men if they would be interested in buying a rifle, as he needs the money.",0
1107,"Her brother Laird saw her do it. Plant area escapes. But her father eventually returned to Flora after the truck. At dinner that night, Laird said his sister deliberately opened the door. Her father asked if this was true, the girl, tore up, admit it was true. The father asked her in disgust why she did so.",0
698,"Frank angrily demands that Rory leave, then forces his daughters to kill and butcher the captive. They reluctantly obey, and the entire family eats her remains after a bit of urging from Frank. Marge attempts to deliver a vegetarian meal to the Parkers, noting she thinks she heard a woman crying in the shed, but she receives an icy welcome from Iris. Back in pioneer times the family has taken shelter in a cave, but the girls fear the father is losing his mind, keeping to himself in the depths of the cave and crying at night. Eventually he leads the girls down to where he has been keeping their only food source, one of the women in the party who died (possibly their mother), tied to a rack with pieces cut off of her. he hands his oldest daughter a knife and points to the carcass.",0
823,"Despite his wealth, Fogg lives a modest life with habits carried out with mathematical precision. Very little can be said about his social life other than that he is a member of the Reform Club. Having dismissed his former valet, James Forster, for bringing him shaving water at 84 °F (29 °C) instead of 86 °F (30 °C), Fogg hires Frenchman Jean Passepartout as a replacement. At the Reform Club, Fogg gets involved in an argument over an article in The Daily Telegraph stating that with the opening of a new railway section in India, it is now possible to travel around the world in 80 days. He accepts a wager for £20,000 (£2,075,400 in 2017) from his fellow club members to complete such a journey within this time period. With Passepartout accompanying him, Fogg departs from London by train at 8:45 p.m. on 2 October; if he is to win the wager, then he will have to return to the club by this same time on 21 December, 80 days later.",0
414,"The three drive through the night, at one point bribing border patrol with two cartons of cigarettes, and at another point being attacked by insurgents while trying to get gas, but eventually arrive at the military base. Captain Santos, the man receiving the shipment, is impressed by the lengths the two went through to get the guns to him, and the two are paid. After this, AEY continues to secure larger deals and make more money, even moving into a larger office and hiring more employees, and David's daughter Ella is born. Efraim, however, continues to grow more unstable and untrustworthy, as the company is suddenly given a chance to land their biggest deal yet. Known as ""The Afghan Deal"", the US Government wishes to arm the Afghan military for the long-term, and post a massive order worth $300 million, which includes 100 million rounds of AK-47 ammunition and would have netted the war dogs a $100 million profit. Filling this order proves to be near-impossible for such a relatively small company, particularly in that there is a global shortage on AK-47 ammunition, but the two end up lucking into an encounter with legendary US arms dealer Henry Girard.",0
937," The train was about to pull out of the station. Swinging a large bag a young man managed to reach the train throw his bag in and climb aboard gasping for air.  seeking at him another man said ""Young man you should be in better  shape! At your age I could catch the train by a gnat's whisker and  still be fresh. Look at you panting away.""  The young man took a deep breath and said ""Pop I missed this train at the *last* station."" ",1
613,"Terry then realizes that Julia doesn't seem to remember the sheer terror she felt as a child and explains the origin of her night terrors which started when she was 5 years old, after witnessing her sister drown in a lake where her family would spend their summers. In one instance, she woke up screaming and her parents comforted her and put her back to sleep. Her mother checked on her a few hours later and she was gone. After searching throughout the entire house her father found her in the dog house, and as he reached in to grab her she stabbed him in the eye with a kitchen knife as she was convinced he wasn't her father and that he was some kind of demon. Julia is at first skeptical but slowly starts to believe in her friends stories after meeting a little girl named Sarah (Jodelle Micah Ferland), one of Dr. Booth's (Jay Brazeau) patients who also suffers from night terrors which started after her mother's untimely death. Sarah claims ""They"" are going to get her and eat her in her horrible nightmares and the only thing that keeps them away is lights.",0
148,"Eep goes with Guy to hunt, while the others fight among themselves. Eep and Guy made a trap in order to capture the bird, but failed when the two got tangled up and the bird didn’t step in the trap. The bird captured the puppet with Guy in it and threw him up in the sky until he lands on the log. Grug asked Guy where Eep is and he found her being chased by the bird. Grug got angry but didn’t notice that he was about to step on the trap, so Eep pushed him out to save her father. The bird stepped on the trap and was flown up in the sky until it crash landed on the ground.",0
809,"In one instance, she woke up screaming and her parents comforted her and put her back to sleep. Her mother checked on her a few hours later and she was gone. After searching throughout the entire house her father found her in the dog house, and as he reached in to grab her she stabbed him in the eye with a kitchen knife as she was convinced he wasn't her father and that he was some kind of demon. Julia is at first skeptical but slowly starts to believe in her friends stories after meeting a little girl named Sarah (Jodelle Micah Ferland), one of Dr. Booth's (Jay Brazeau) patients who also suffers from night terrors which started after her mother's untimely death. Sarah claims ""They"" are going to get her and eat her in her horrible nightmares and the only thing that keeps them away is lights. She then starts picking at a strange mark on her arm; a similar mark that also appeared on Billy's hand, Sam's shoulder, and Terry's ankle.",0
628,"He has a big strip of hair on his back, and everyone starts laughing at him. He talks to Cromer, and they decide to pull a prank on the coach, turning off the hot water when the coach is in the shower. Not wanting to go back to school, Harold buys a few beers for himself, and is followed by Maude, who still thinks that he is much older. When he tells her he is 14, she thinks that means the size of his manhood. When he explains he is only 14 years old, she tells him to come back in a few years. Patrick and his buddies ask Harold for one more favor: to get them some beer for a party.",0
1041," In a psychiatrist's waiting room two  patients are having a conversation. One says to the other ""Why are you here?"" The second answers ""I'm Napoleon so the doctor told me to come here."" The first is curious and asks ""How do you know that you're Napoleon?"" The second responds ""God told me I was."" At this point a patient on the other side of the room shouts ""NO I DIDN'T!"" ",1
412," General Ways to Annoy People

Announce when you're going to the bathroom.

Ask people to prove everything they say. 
(e.g. ""I'm Bob, nice to meet you..."" 
""PROVE IT!"")
ONLY TYPE IN UPPERCASE.
Before exiting the elevator, push all the buttons. ",1
304," A lady picked up several items at a discount store. When she finally got up to the checker, she learned that one of her items had no price tag. Imagine her embarrassment when the checker got on the intercom and boomed out for all the store to hear, ""PRICE CHECK ON LANE THIRTEEN, TAMPAX SUPER SIZE.""

That was bad enough, but somebody at the rear of the store apparently misunderstood the word ""Tampax"" for ""THUMBTACKS.""

In a business-like tone, a voice boomed back over the intercom. ""DO YOU WANT THE KIND YOU PUSH IN WITH YOUR THUMB OR THE KIND YOU POUND IN WITH A HAMMER?"" ",1
421,"Back at his apartment, Ross gets messages from his mother and his former girlfriend, Amy, wishing him a happy birthday. Ross, assuming that Amy still loves him, sporadically calls her and leaves messages on her answering machine. He then goes to the local strip club while high, leading to an intense pornographic hallucination. He takes April (Chloe Hunter), one of the dancers he has a relationship with, home and has sex with her in a variety of positions, the last of which leaves her tied to the bed naked. As they finish, the Cook calls with an emergency regarding Nikki's dog, Taco, which needs to be taken to the veterinarian. April tells him to untie her but Ross, still high, duct-tapes April's eyes and mouth shut to keep her quiet and leaves her handcuffed to the bed, playing music to cover her gagged screams.",0
180,"Buttermaker gives a sign to Kelly to swing away. Kelly lunges at a far-outside pitch and belts the ball to the wall. The three runners score ahead of Kelly, who races toward home plate with the game-tying run, only to be called out by the umpire on a very close play, causing the Bears to lose by one run. Buttermaker celebrates his pride for the team by treating them to the beer in his cooler. Although they did not win the championship, they have the satisfaction of having come a long way. Amanda suggests Buttermaker teach her how to hit better the next year, and Buttermaker warmly responds, ""You bet.""",0
972," A blonde arrived for her first golf lesson and the pro asked her to take a swing at a ball to see how she'd do. The blonde did so and competely duffed the shot. The pro said ""Your swing is good but you're gripping the club too hard - grip the club gently as you would your husband's penis."" The blonde took another shot and nailed the ball 275 yards straight down the fairway. The pro said ""That was excellent! Let's try it again only this time take the club out of your mouth."" ",1
202,"Cheering her up, Dylan create an improvised speaker using a paper cup and ice cream cone holder, lifting Sarah's mood,they then dance and kiss. They go to Dylan's apartment and make love. The next morning, Dylan asks Sarah where she got her necklace from, to which Sarah replies that it was from her ex-boyfriend; Jonas (Sam Reid) who happens to be the main artist of the gallery at which she works. Dylan asks when is Sarah's birthday and they find out that both of them were born on the same day; April 18, 1986 and they are both turning 30 within a weeks time. Dylan suddenly hears a car crash on the road below his apartment at exactly 9:15 AM and he tells Sarah that it was 3rd day in a row that the same incident had happened. Dylan takes a cab with a reckless driver going to Grand Central, as the driver take the shorter route Dylan tells him to stop the cab and notices again the same pattern of siren, a woman laugh, construction sounds, and a man saying ""Can I help you with"".",0
1023," A little kid comes running into the backyard. He says ""Pop! Pop! Ma just got hit by a bus!"" ""Son you know my lips are chapped. Please don't make me smile."" ",1
637," A few months after his parents were divorced, Nick passed by his mom's bedroom and saw her rubbing her body and moaning, ""I need a man, I need a man!"" 
Over the next couple of months, he saw her doing this several times. 

One day, he came home from school and heard her moaning. When he peeked into her bedroom, he saw a man on top of her. 

Nick ran into his room, took off his clothes, threw himself on his bed, started stroking himself, and moaning, ""Ohh, I need a bike! I need a bike!"" ",1
226,"Sarah gets back to the house and finds out that everyone has left. Edy offers to give her a ride to the bar where everyone is. While driving Sarah to the bar to meet the others, Edy appears to have a heart attack and stomps on the brakes. Luckily, they skid into a parking area and no one is injured; Sarah is able to fetch Edy's medication from the glove box in time. As Sarah looks at the bottles, she realizes that Edy is really very ill and that that's the reason he's getting those phone calls (the doctor). Edy makes her promise to not tell anyone, since he doesn't want anyone to worry so they can enjoy the holidays.",0
619," Two kids are arguing over whose father is the biggest scaredy-cat.

The first kid said, ""My dad is so scared that, when lightning strikes, he hides underneath the bed.""

""Oh, yeah? That's nothing,"" said the second kid. ""My dad is so scared that, when my mom has to work the night shift, he goes next door to sleep with Mrs. Jones!"" ",1
389,"There are so many people that they run out of tickets, forcing Benjamin and Kelly to look for more. They end up face to face in a shed, where Kelly admits to Benjamin that she is romantically interested in him and since she ""can't get a handle on it"", she kisses him, telling him that maybe they can do it again on New Year's Eve; Benjamin kisses her back, and tells her that he is looking forward to it. Benjamin takes his children to the restaurant where he met their mother, explaining that it was the point where their existence became a possibility. He takes them through that day's encounter, where Benjamin worked up the nerve to talk to his future wife with ""20 seconds of insane courage"", and walks up to the table she was sitting. He visualizes her sitting there, and asks her why such an amazing woman would talk to someone like him. She responds, ""Why not?""",0
4," Two blondes are walking down a road, one has a large sports bag. 
1st blonde: ""What have you got in that bag?"" 

2nd blonde: ""Chickens."" 

1st blonde: ""If I can guess how many chickens you've got in that bag, can I have one of them?"" 

2nd blonde: ""If you can guess how many chickens I've got in this bag, you can have BOTH of them!!"" 

1st blonde: ""Well, I think you've got three."" ",1
865," ""I came in to make an appointment with the dentist."" said the man to the receptionist. ""I'm sorry sir."" she replied. ""He's out right now but..."" ""Thank you"" interrupted the obviously nervous prospective patient. ""When will he be out again ?"" ",1
770,"After Jörgen gives her his address, Wren desperately runs through the streets of Cleveland trying to find his house. Arriving there and telling Jörgen she doesn't have the money, he calls the police but puts them on hold when Wren finds out that he is a big fan of the Beastie Boys, and offers to give him the collectible jacket she inherited from her late father which was left behind by Mike D as a substitute for cash. Jörgen seems satisfied and takes it as a better offer, but he decides to turn them over to the police anyhow. Just then, Fuzzy breaks in to rescue the boy and his older sister, by throwing bricks and fireworks throughout the house. Jörgen is slightly injured in the explosion. Before the police arrive, Fuzzy strips down naked and runs off in order to divert attention from the two kids.",0
621," ""This house,"" said the real estate salesman, ""has both its good points and its bad points. To show you I'm honest, I'm going to tell you about both.

""The disadvantage is that there is a chemical plant one block south and a slaughterhouse a block north.""

""What is the advantage?"" inquired the prospective buyer.

""The advantage is that you can always tell which way the wind is blowing."" ",1
444," A fellow was very much in love with a beautiful girl. One day she told him that the next day was her birthday. He told her he would send her a bouquet of roses, one for each year of her life. 

That evening he called the local florist and ordered twenty-one roses with instructions that they be delivered first thing the next morning. 

As the florist was preparing the order, he decided that since the young man was such a good customer, he would put an extra dozen roses in the bouquet. 

The fellow never did find out what made the young girl so angry with him. ",1
390," Kid 1: You did it again!
Kid 2: What? What did I do?
Kid 1: You know, that thing.
Kid 2: What thing?
Kid 1: That thing when your lips move and sound comes out. ",1
732," A grandmother was pushing her little grandchild around Wal- Mart in a buggy. Each time she put something in the basket she would say, 'And here's something for you, Diploma.' or 'This will make a cute little outfit for you, Diploma.' and so on. Eventually a bewildered shopper who'd heard all this finally asked, 'Why do you keep calling your grandchild Diploma?' The grandmother replied, 'I sent my daughter to the University of Virginia and this is what she came home with!' ",1
131,"In all rounds of the rap battle, Jimmy has to compete against one member of ""the Leaders."" After winning the first two rounds, he has to challenge Papa Doc. He wins by exposing his opponent's weaknesses as well as his own. With nothing to say in rebuttal, Papa Doc hands the microphone back to Future, embarrassed. After being congratulated by Alex and his friends, Jimmy is offered a position by Future, hosting battles at The Shelter. Jimmy declines, saying he has to get back to work and to find success his own way.",0
286,"When Samantha's flamboyance nearly incites a riot, the girls are rescued by a group of Emirati women who share their sense of style under their black robes. When Carrie returns home, she finds the bedroom television removed and Big gone. She passes an anxious day, at the end of which he returns. Big tells her that although he was ""pretty torn up"", he realizes that what she needs is something to remind her at all times that she is married. He hands her a jewelry box, which reveals an engagement ring set with a black diamond. When Carrie asks him why a black diamond, he says, ""Because you're not like anyone else"", echoing Aidan's earlier comment.",0
482," A taxi driver, driving a Mercedes-Benz, picked up a rather simple looking fellow at the airport one day. 

When the gentleman got in and they started on their way he enquired what the three pinned emblem on the front was for. The driver replied, ""Why, it's for lining it up at people so you can run them down."" 

""Ah, I see,"" said the man. 

With this the taxi driver starts heading straight for an elderly woman but at the last second swerves away. He hears a loud bang, he looks curiously over at the passenger who is hanging out of the car with the door wide open: ""I thought you were going to miss there for a minute!"" ",1
646,"Once their mother leaves, Sally and Conrad meet a humanoid, oversized talking cat in a hat in their house. The Cat reveals he wants them to learn to have fun, but the children's pet fish doesn't want the Cat around when Joan is away. The Cat then leaves a trail of destruction across the house. In the process, he releases two trouble-making things, Thing 1 and Thing 2, from a crate that he explains is actually a portal to another world. The Cat tells Conrad that he only has one rule: never open the crate, then allows the Things to have fun, but they make a mess out of the house. Despite the Cat's warning, Conrad picks the lock on the crate.",0
179," During preseason training, a college football lineman married one of the team's cheerleaders. The coach was a bit surprised and remarked to his star football player, ""You are such a big, burley guy. Why in the world did you marry such a tiny, petite woman? She is no bigger than your hand."" ""That's right, Coach,"" replied the lineman. ""But, she's much better!"" ",1
366,"As he shoots the neighbors, he continuously asks if anyone spoke about ""the name"" which cannot be said. He also repeats the same thing over and over: ""Don't say it, don't think it; don't think it, don't say it."" In present day, Elliot, his girlfriend Sasha, and best friend John move into an off-campus house not far from their college. Soon, mysterious things start to happen, such as Sasha developing a strange cough and Elliot finding coins in a nightstand that continually reappear. Elliot also finds writing consisting of ""don't think it, don't say it"", and a name: the Bye Bye Man. During a seance involving their friend Kim, the name is mentioned.",0
117," A lawyer died and arrived at the pearly gates. To his dismay, there were thousands of people ahead of him in line to see St. Peter. But, to his surprise, St. Peter left his desk at the gate and came down the long line to where the lawyer was, and greeted him warmly. Then St. Peter and one of his assistants took the lawyer by the hands and guided him up to the front of the line, and into a comfortable chair by his desk. The lawyer said, ""I don't mind all this attention, but what makes me so special?"" St. Peter replied, ""Well, I've added up all the hours for which you billed your clients, and by my calculation you must be about 193 years old!"" ",1
981,"The two call it a day, seemingly deciding to wash their hands of everything that has happened, and head home. The following day, Ethan and Sophie are home in bed. After some playful banter, he asks what she plans on making for breakfast. Calling back from downstairs, Sophie casually replies eggs and bacon. Ethan takes a moment to consider the meaning of Sophie cooking bacon, either he has brought back Sophie II or Sophie I has changed. Ethan appears to come to some peace with his own conclusion and he heads downstairs to join her for breakfast.",0
1089,"Max (Hooks), Drew (Darryl Brunson), and Jelly Roll (Christopher Richards) have been close friends since high school. Shortly after graduation, they made a bet — each man threw 50 dollars into a pot, and it was decided whoever brought the best-looking woman to their ten-year high school reunion would get all the money. Ten years down the line, the guys discover that after ten years of smart investing, the two hundred bucks has become a whopping 50,000 dollars, but as their reunion looms on the horizon, none of them has a girlfriend, or even a steady date. With that much money at stake, all three men (as well as J-Ron, their arrogant teammate from the high school football team, and the fourth person in on the bet) are eager to find a sexy woman with an evening to spare. The three of them end up searching for the perfect girl on the internet, visiting chat rooms in search of an available knockout. It isn't long before they realize that truth in advertising isn't all that common in the online dating game.",0
477,"But her father eventually returned to Flora after the truck. At dinner that night, Laird said his sister deliberately opened the door. Her father asked if this was true, the girl, tore up, admit it was true. The father asked her in disgust why she did so. She began to cry earnestly; she could not explain herself. Then, the father said, ""It doesn't matter... She's just a girl.""",0
174,"The last few hundred dollars comes off when Darrell suggests using virtual reality gloves in place of a mouse and keyboard. Tiny then writes a ""hypnotizer"" code to link the gloves, the projector, and the internet, and they're done. But immediately before he finishes, the whole team (except for Tiny, who is still writing the code) quits LaHonda after being told that there are no more funds for their project, but sign a non-exclusive patent waiver, meaning that LaHonda will share the patent rights to any technology they had developed up to that point. After leaving LaHonda, they pitch their product to numerous companies, but do not get accepted, mainly because:
the prototype emagi (electronic magic) as it was now called, was ugly, and
something always seemed to go wrong during the demonstration of their product. They have almost given up hope, when in comes the lovely next-door neighbor Alisa again, whose relationship with Andy has been growing steadily. She improves its look, and when called back by an executive from one of the companies they had pitched to, to whom they had said that their design teams were working on a cosmetic model that would be ready in a couple of days when she commented, ""You haven't given much thought to the look of it.""",0
602,"City Hall closes before he is called, but he manages to persuade the woman clerk who is shooing him out to have mercy and give him the license anyway because he has a beautiful daughter and another on the way—and because he is an artist, as is she! As the last person to leave, he decides to celebrate with one drink. Unfortunately his addiction, and his nervousness about the competition, make him drink many more. The competition was going to start at eight o'clock, and when he realizes he is very late he finally rushes out, without paying. While drinking, he had been asked whether he had the money to pay, and he had answered that he had 5,000 francs (the prize money) and could buy everyone in the café a drink. Two guys that were in the bar follow him and assault and severely beat him, under the assumption that he has a lot of money.",0
503," A police detective was investigating a homicide. As he questioned the on-scene officer, he learned the body was that of a young woman. 

The body was found with a bowl over her head and a spoon stuck in her back. 

The on-scene officer asked what the detective thought had happened to the woman. 

The detective responded, ""I think it's obvious. A cereal killer got her!"" ",1
1096,"One year later, Nick and his fellow paramedic Jay Thompson are going to work when they get a call from an abandoned building site where they find a dying citizen. They attempt to revive him, only to find the number 1 stitched on his stomach and a bomb, but Nick receives a call, is asked to step outside the ambulance after answering it. He then finds himself playing a game called 12 Rounds by Patrick Heller, moonlighting as a mastermind and using Sarah as a pawn. Before the ambulance explodes, killing the citizen instantly and setting Jay on fire, although he survives. For Round 2, Nick receives a text message which leads to a parking lot where a car waits for him. Round 3, Nick must find a clue in the car.",0
48,"Cloud, the boy who died thirteen years ago. While at lunch the next day after their date, an officer comes in and states that Tess's boat, the Querencia, has gone missing and parts of the ship have been found. Charlie is shocked at the thought that Tess could be dead. He had heard of ""middle ground"" where spirits would stay until they were ready to pass over to the next level. He had seen many come and go quickly and others who liked to stay like his brother. In the meantime everyone in the town in possession of a boat, including Charlie, explores the harbor in order to look for Tess's body.",0
466," Our house, in the middle of my feet, 
Our house, which smells of cheesy feet,
Our house, will always get defeat,
Our house, will never eat those feet.

That was a song I made up 
ha!!!!!! ha!!!!!! ha!!!!!! ha!!!!!!! ",1
